WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,Rainfall,MeanSeaLevelPressure,LandVisibility,WindDirection,StationPressure,DewPoint
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,3.60,10-02-2019,10:00:00,7.4,31.3,67,30.65,0.00,1011.78,12.00,240,991.41,24.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-02-2019,10:00:00,1.9,31.4,77,35.59,0.00,1013.80,6.00,300,993.14,27.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-02-2019,10:00:00,0.0,31.3,71,32.39,0.00,1011.88,10.00,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1011.45,25.4
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,10-02-2019,10:00:00,0.0,30.8,71,31.35,0.00,1011.71,11.00,000,1010.30,24.8
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,12.60,10-02-2019,10:00:00,0.0,31.0,77,34.41,0.00,1011.85,9.00,000,1006.95,26.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,6.50,10-02-2019,10:00:00,9.3,31.2,62,28.20,0.00,1011.75,10.00,260,1008.49,23.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-02-2019,10:00:00,1.9,32.5,65,31.69,0.00,1011.95,10.00,120,1010.86,25.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-02-2019,10:00:00,5.6,33.1,63,32.08,0.00,1011.68,10.00,200,1011.38,25.2
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,10-02-2019,10:00:00,5.6,32.8,62,30.86,0.00,1011.73,10.00,210,1011.06,24.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-02-2019,10:00:00,0.0,31.0,69,31.19,0.00,1011.38,7.00,000,1010.89,24.7
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,57.20,10-02-2019,10:00:00,5.6,31.4,67,30.57,0.00,1013.27,8.00,270,1011.87,24.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1.20,10-02-2019,10:00:00,13.0,29.5,81,33.58,0.00,1011.83,7.00,180,1010.16,26.0
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.90,10-02-2019,10:00:00,3.7,30.7,75,33.17,0.00,1013.12,10.00,180,1005.16,25.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-02-2019,10:00:00,0.0,32.5,64,31.11,0.00,1011.31,10.00,000,1011.03,24.7
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-02-2019,10:00:00,5.6,31.0,74,33.22,0.00,1011.52,10.00,300,1008.42,25.8
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-02-2019,10:00:00,7.4,29.8,79,33.33,0.00,1011.49,10.00,240,1004.59,25.9
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1.40,10-02-2019,10:00:00,3.7,32.0,69,32.99,0.00,1012.41,7.00,200,1006.87,25.7
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-02-2019,10:00:00,0.0,31.8,76,35.56,0.00,1012.57,4.00,000,1003.36,27.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-02-2019,10:00:00,3.7,30.5,74,32.17,0.00,1012.46,12.00,320,1011.20,25.3
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-02-2019,10:00:00,0.0,30.5,76,33.05,0.00,1011.78,11.00,000,1011.35,25.7
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,6.60,10-02-2019,10:00:00,3.7,29.5,77,31.85,0.00,1012.04,8.00,090,999.82,25.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-02-2019,10:00:00,5.6,31.2,70,31.89,0.00,1011.67,10.00,090,1010.96,25.1
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-02-2019,10:00:00,11.1,32.8,65,32.33,0.00,1011.88,8.00,160,1009.48,25.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-02-2019,10:00:00,11.1,31.5,74,34.30,0.00,1011.91,8.00,180,1011.40,26.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,71.80,10-02-2019,10:00:00,1.9,25.3,84,27.20,69.30,1012.21,7.00,120,1007.00,22.5
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-02-2019,10:00:00,0.0,30.1,72,30.79,0.00,1012.35,8.00,000,1011.94,24.5
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,3.10,10-02-2019,10:00:00,0.0,29.5,81,33.58,0.00,1012.33,8.00,000,1009.57,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-02-2019,10:00:00,0.0,31.5,66,30.49,0.00,1011.59,10.00,000,1010.81,24.4
48501,TRAD,ตราด,ตราด,11.76667,102.88333,3.40,10-02-2019,10:00:00,5.6,30.7,74,32.59,0.00,1012.03,8.00,240,1011.57,25.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-02-2019,10:00:00,0.0,30.8,70,31.06,0.00,1012.11,9.00,000,1011.43,24.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-02-2019,10:00:00,3.7,32.0,60,28.66,0.00,1012.23,10.00,060,1010.72,23.3
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,10-02-2019,10:00:00,0.0,31.0,69,30.90,0.00,1012.56,9.00,000,1011.65,24.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-02-2019,10:00:00,9.3,30.9,75,33.60,0.00,1012.68,12.00,270,1012.00,26.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,4.50,10-02-2019,10:00:00,0.0,30.0,77,32.59,0.00,1013.06,10.00,000,1012.26,25.5
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-02-2019,10:00:00,3.7,31.0,68,30.33,0.00,1012.65,10.00,160,1012.02,24.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-02-2019,10:00:00,0.0,31.7,70,32.94,0.00,1012.98,10.00,000,1012.58,25.7
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,2.80,10-02-2019,10:00:00,5.6,30.5,70,30.74,0.00,1014.48,8.00,250,1010.29,24.5
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,9.20,10-02-2019,10:00:00,0.0,29.1,78,31.61,0.00,1013.15,12.00,000,1011.54,25.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.01,10-02-2019,10:00:00,3.7,30.5,72,31.31,0.00,1012.64,10.00,270,1009.18,24.8
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,10-02-2019,10:00:00,3.7,30.5,68,29.89,0.00,1013.15,10.00,210,1011.81,24.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,9.60,10-02-2019,10:00:00,5.6,30.0,78,33.17,0.00,1012.51,10.00,270,1011.63,25.8
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1.40,10-02-2019,10:00:00,0.0,29.3,77,31.45,0.00,1013.21,10.00,000,1009.66,24.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,3.00,10-02-2019,10:00:00,0.0,29.6,74,30.63,0.00,1012.92,10.00,000,1012.49,24.4
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,10-02-2019,10:00:00,0.0,30.4,72,31.39,0.00,1012.66,10.00,000,1011.67,24.9
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,19.20,10-02-2019,10:00:00,5.6,27.7,89,33.05,0.20,1013.48,10.00,250,1012.66,25.7
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,10-02-2019,10:00:00,0.0,30.5,72,31.31,0.00,1013.38,10.00,000,1011.58,24.8
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.01,10-02-2019,10:00:00,13.0,31.0,63,28.37,0.00,1013.42,11.00,240,1012.67,23.2
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,5.80,10-02-2019,10:00:00,5.6,30.7,70,30.86,0.00,1013.67,10.00,990,1009.70,24.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,17.80,10-02-2019,10:00:00,0.0,30.2,72,30.70,0.00,1013.35,10.00,000,1012.67,24.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,44.20,10-02-2019,10:00:00,0.0,30.9,67,30.13,0.00,1013.17,10.00,000,1012.07,24.2
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-02-2019,10:00:00,0.0,30.7,74,32.88,0.00,1013.26,12.00,000,1010.36,25.6
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-02-2019,10:00:00,0.0,30.5,65,28.50,0.00,1012.95,12.00,000,1012.26,23.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,43.70,10-02-2019,10:00:00,13.0,29.6,67,27.88,0.00,1013.78,10.00,240,1009.67,22.9
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-02-2019,10:00:00,5.6,29.5,72,29.60,0.00,1012.88,10.00,080,1012.29,23.9
