WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,DewPoint,RelativeHumidity,LandVisibility,StationPressure,WindDirection,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,VaporPressure
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-04-2019,01:00:00,27.5,22.6,75,7.00,1010.59,300,0.00,1.9,1011.08,27.47
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-04-2019,01:00:00,26.5,22.2,77,9.00,1010.29,330,6.00,7.4,1011.70,26.73
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-04-2019,01:00:00,23.7,23.4,98,10.00,1004.62,000,36.10,0.0,1012.76,28.77
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-04-2019,01:00:00,28.1,26.3,90,4.00,1010.48,000,0.00,0.0,1010.76,34.15
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-04-2019,01:00:00,27.0,25.6,92,10.00,1007.51,300,0.00,5.6,1010.66,32.77
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-04-2019,01:00:00,27.5,25.9,91,10.00,1003.76,000,0.00,0.0,1010.72,33.50
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-04-2019,01:00:00,26.7,23.6,83,7.00,1005.24,000,1.10,0.0,1010.87,29.19
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-04-2019,01:00:00,24.7,23.5,93,10.00,1010.73,000,0.00,0.0,1012.01,28.98
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-04-2019,01:00:00,26.2,23.4,85,11.00,1010.44,000,0.00,0.0,1010.88,28.80
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-04-2019,01:00:00,23.3,22.5,96,8.00,999.22,000,0.70,0.0,1011.69,27.33
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-04-2019,01:00:00,26.6,22.5,78,10.00,1010.01,000,0.00,0.0,1010.73,27.16
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-04-2019,01:00:00,27.5,25.7,90,10.00,1008.42,180,0.20,5.6,1010.86,32.93
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-04-2019,01:00:00,29.0,25.5,81,7.00,1010.07,000,0.00,0.0,1010.59,32.55
