WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,WindSpeed,DewPoint,VaporPressure,Rainfall,RelativeHumidity,Rainfall24Hr,MeanSeaLevelPressure,StationPressure,WindDirection
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.2,08-09-2019,22:00:00,8.00,0.0,24.8,31.22,0.20,92,18.70,1001.88,994.59,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.5,08-09-2019,22:00:00,10.00,0.0,24.9,31.52,0.00,86,14.60,1001.29,981.55,000
48353,LOEI,เลย,เลย,17.45000,101.73333,26.4,08-09-2019,22:00:00,12.00,0.0,25.1,31.88,0.00,93,10.70,1001.72,973.20,000
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.1,08-09-2019,22:00:00,12.00,5.6,25.4,32.43,0.00,85,3.30,1001.34,981.37,300
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,26.5,08-09-2019,22:00:00,7.00,0.0,24.5,30.70,6.50,89,32.30,1002.61,980.96,000
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.8,08-09-2019,22:00:00,7.00,5.6,24.9,31.55,37.20,95,39.60,1001.75,982.30,230
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,27.5,08-09-2019,22:00:00,12.00,5.6,24.5,30.70,0.00,84,2.30,1002.38,985.75,020
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,27.9,08-09-2019,22:00:00,10.00,0.0,26.1,33.74,0.00,90,13.60,1002.32,985.05,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.5,08-09-2019,22:00:00,9.00,0.0,25.4,32.36,0.00,88,1.00,1001.27,975.70,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.5,08-09-2019,22:00:00,10.00,3.7,26.2,34.03,0.40,98,10.40,1001.57,995.81,180
