WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,WindSpeed,Rainfall,DewPoint,MeanSeaLevelPressure,StationPressure,WindDirection,AirTemperature,VaporPressure,Rainfall24Hr
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,85,08-06-2019,10:00:00,15.00,7.4,0.80,25.1,1005.14,975.65,120,28.0,31.95,2.50
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,78,08-06-2019,10:00:00,8.00,0.0,0.90,24.2,1005.82,998.56,000,28.5,30.15,27.80
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,78,08-06-2019,10:00:00,12.00,5.6,0.00,25.2,1005.07,985.39,300,29.5,32.13,3.00
48353,LOEI,เลย,เลย,17.45000,101.73333,77,08-06-2019,10:00:00,14.00,5.6,0.20,24.1,1005.39,976.97,140,28.6,30.07,1.70
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,75,08-06-2019,10:00:00,15.00,3.7,0.00,24.7,1005.72,985.77,320,29.7,31.12,1.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,76,08-06-2019,10:00:00,12.00,3.7,0.00,24.4,1005.71,984.17,310,29.0,30.57,48.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,74,08-06-2019,10:00:00,15.00,7.4,0.00,23.9,1005.75,986.43,300,29.0,29.74,29.40
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,83,08-06-2019,10:00:00,10.00,0.0,0.00,24.3,1006.50,989.80,000,27.5,30.42,0.01
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,84,08-06-2019,10:00:00,10.00,0.0,0.00,24.1,1006.43,989.04,000,27.0,30.02,1.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,85,08-06-2019,10:00:00,12.00,5.6,0.00,24.8,1004.87,979.21,300,27.5,31.25,5.50
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,87,08-06-2019,10:00:00,6.00,0.0,0.00,26.1,1005.83,1000.08,000,28.5,33.82,15.30
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,88,08-06-2019,10:00:00,8.00,5.6,0.00,25.5,1006.00,999.84,160,27.8,32.68,22.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,79,08-06-2019,10:00:00,10.00,0.0,0.00,23.9,1007.05,990.67,000,28.0,29.74,2.20
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,91,08-06-2019,10:00:00,8.00,7.4,0.60,23.0,1005.07,982.61,120,24.5,28.11,27.80
48376,TAK,ตาก,ตาก,16.87833,99.14333,88,08-06-2019,10:00:00,4.00,0.0,0.00,24.8,1006.60,992.22,000,27.0,31.38,6.60
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,93,08-06-2019,10:00:00,7.00,0.0,0.50,24.6,1006.42,989.98,000,25.8,31.00,12.10
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,76,08-06-2019,10:00:00,10.00,3.7,0.01,24.6,1006.14,1000.95,210,29.3,30.88,2.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,83,08-06-2019,10:00:00,12.00,0.0,0.00,25.1,1005.01,991.90,000,28.2,31.79,6.50
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,82,08-06-2019,10:00:00,10.00,3.7,0.00,24.8,1005.98,996.70,160,28.1,31.31,4.20
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,60,08-06-2019,10:00:00,10.00,7.4,0.00,22.5,1005.35,983.99,270,31.1,27.19,0.01
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,66,08-06-2019,10:00:00,12.00,0.0,0.00,23.9,1005.29,988.05,000,31.1,29.68,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,87,08-06-2019,10:00:00,12.00,0.0,0.00,24.8,1005.50,989.69,000,27.1,31.30,49.50
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,62,08-06-2019,10:00:00,10.00,0.0,0.00,22.3,1004.67,986.05,000,30.5,26.87,0.40
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,91,08-06-2019,10:00:00,7.00,0.0,0.60,22.1,1007.61,956.02,000,23.6,26.58,21.70
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,77,08-06-2019,10:00:00,8.00,7.4,0.01,24.9,1005.80,1001.88,150,29.3,31.45,0.20
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,93,08-06-2019,10:00:00,7.00,0.0,2.20,19.8,1006.65,911.41,000,20.9,23.08,26.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,79,08-06-2019,10:00:00,8.00,0.0,0.00,25.3,1005.91,990.07,000,29.4,32.22,2.50
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,88,08-06-2019,10:00:00,10.00,3.7,0.00,26.2,1005.85,1001.83,190,28.3,33.99,2.90
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,77,08-06-2019,10:00:00,10.00,3.7,0.00,24.0,1007.19,996.57,190,28.5,29.87,0.20
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,79,08-06-2019,10:00:00,10.00,3.7,0.00,24.2,1005.04,1003.12,150,28.2,30.12,1.10
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,65,08-06-2019,10:00:00,10.00,13.0,0.00,22.8,1005.70,985.08,220,30.1,27.74,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,69,08-06-2019,10:00:00,10.00,7.4,0.00,23.6,1005.54,988.07,260,29.8,29.08,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,68,08-06-2019,10:00:00,10.00,11.1,0.00,23.4,1005.22,989.25,260,30.1,28.83,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,67,08-06-2019,10:00:00,10.00,11.1,0.00,23.9,1005.88,992.03,300,30.7,29.73,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,72,08-06-2019,10:00:00,9.00,0.0,0.00,24.8,1006.35,991.70,000,30.5,31.31,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,66,08-06-2019,10:00:00,10.00,14.8,0.00,24.0,1006.00,991.55,270,31.2,29.88,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,78,08-06-2019,10:00:00,10.00,0.0,0.00,24.1,1006.11,1003.11,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",28.3,30.04,0.80
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,72,08-06-2019,10:00:00,10.00,5.6,0.00,24.1,1005.84,997.97,220,29.7,29.99,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,77,08-06-2019,10:00:00,8.00,14.8,0.00,24.7,1006.61,1005.51,220,29.1,31.05,6.60
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,58,08-06-2019,10:00:00,8.00,0.0,0.00,22.3,1006.36,991.90,000,31.5,26.86,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,97,08-06-2019,10:00:00,8.00,5.6,0.00,20.5,1007.15,872.77,280,21.0,24.15,30.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,70,08-06-2019,10:00:00,10.00,9.3,0.00,24.5,1006.07,1000.27,260,30.6,30.66,0.90
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,73,08-06-2019,10:00:00,9.00,3.7,0.01,24.4,1007.11,1006.32,260,29.7,30.55,8.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,75,08-06-2019,10:00:00,10.00,11.1,0.01,25.0,1007.16,1006.72,230,30.0,31.72,2.10
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,96,08-06-2019,10:00:00,3.00,0.0,1.70,24.0,1008.04,996.64,000,24.7,29.77,62.10
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,78,08-06-2019,10:00:00,10.00,0.0,0.01,24.3,1006.65,1005.64,000,28.5,30.42,3.10
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,76,08-06-2019,10:00:00,9.00,0.0,0.00,24.4,1006.85,1005.04,000,29.1,30.49,5.70
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,81,08-06-2019,10:00:00,8.00,0.0,0.00,25.7,1006.48,1005.72,000,29.2,32.96,2.90
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,75,08-06-2019,10:00:00,10.00,11.1,0.01,24.5,1006.94,1006.25,280,29.5,30.72,10.20
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,77,08-06-2019,10:00:00,9.00,3.7,0.00,25.8,1006.75,1006.05,300,30.3,33.21,10.40
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,62,08-06-2019,10:00:00,12.00,9.3,0.00,23.7,1005.55,984.76,260,31.9,29.31,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,64,08-06-2019,10:00:00,9.00,7.4,0.00,23.3,1005.97,989.49,260,31.0,28.65,0.30
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,64,08-06-2019,10:00:00,9.00,11.1,0.00,23.1,1006.51,990.29,270,30.7,28.34,1.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,64,08-06-2019,10:00:00,10.00,0.0,0.01,22.9,1006.08,984.50,000,30.5,27.95,0.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,73,08-06-2019,10:00:00,10.00,25.9,0.00,22.5,1006.44,963.35,250,27.8,27.22,3.20
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,59,08-06-2019,10:00:00,12.00,14.8,0.00,22.4,1005.99,985.75,210,31.3,27.02,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,76,08-06-2019,10:00:00,10.00,14.8,0.00,24.9,1007.53,986.88,250,29.6,31.48,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,83,08-06-2019,10:00:00,10.00,0.0,0.00,24.1,1006.91,1006.48,000,27.3,30.04,10.80
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,81,08-06-2019,10:00:00,11.00,0.0,0.00,25.2,1006.75,1005.34,000,28.8,32.14,1.10
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,81,08-06-2019,10:00:00,8.00,0.0,0.01,25.7,1006.66,1001.76,000,29.2,32.96,1.30
