WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,LandVisibility,WindDirection,AirTemperature,VaporPressure,RelativeHumidity,Rainfall,StationPressure,DewPoint,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,30.2,08-23-2019,19:00:00,10.00,000,26.7,31.63,90,1.40,990.33,25.0,0.0,1007.08,49.30
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,30.2,08-23-2019,19:00:00,10.00,000,26.9,32.30,91,0.01,989.67,25.3,0.0,1007.07,25.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.8,08-23-2019,19:00:00,5.00,110,25.5,27.81,85,6.00,979.92,22.8,9.3,1005.77,7.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.9,08-23-2019,19:00:00,10.00,000,29.8,34.80,83,0.00,1000.24,26.6,0.0,1005.97,10.10
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,31.5,08-23-2019,19:00:00,10.00,000,29.5,35.05,85,0.00,1000.08,26.7,0.0,1006.21,12.50
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,31.2,08-23-2019,19:00:00,10.00,000,29.0,30.29,76,0.00,990.32,24.3,0.0,1006.64,17.40
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,32.5,08-23-2019,19:00:00,10.00,000,26.9,28.76,81,0.70,983.82,23.4,0.0,1006.13,14.50
48376,TAK,ตาก,ตาก,16.87833,99.14333,31.8,08-23-2019,19:00:00,8.00,000,28.3,33.12,86,0.00,993.11,25.8,0.0,1007.44,5.50
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,31.3,08-23-2019,19:00:00,10.00,000,29.1,29.65,74,0.00,990.14,23.9,0.0,1006.40,0.50
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,32.4,08-23-2019,19:00:00,10.00,000,29.5,33.58,81,0.00,1001.10,26.0,0.0,1006.28,10.90
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,32.6,08-23-2019,19:00:00,12.00,000,29.5,32.13,78,0.00,991.66,25.2,0.0,1004.71,15.20
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,31.7,08-23-2019,19:00:00,10.00,000,27.2,32.05,89,0.40,997.55,25.2,0.0,1006.86,3.90
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,33.6,08-23-2019,19:00:00,10.00,000,28.6,34.90,89,0.70,984.59,26.6,0.0,1006.13,28.60
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,33.8,08-23-2019,19:00:00,10.00,000,30.5,33.34,76,0.00,988.81,25.9,0.0,1006.10,2.10
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,29.2,08-23-2019,19:00:00,10.00,080,27.5,32.36,88,0.00,990.05,25.4,3.7,1005.84,75.90
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,32.0,08-23-2019,19:00:00,10.00,000,28.0,33.94,90,1.40,986.65,26.2,0.0,1005.43,5.60
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,30.3,08-23-2019,19:00:00,8.00,000,24.3,29.05,96,1.10,955.45,23.6,0.0,1006.89,7.90
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,32.5,08-23-2019,19:00:00,9.00,000,30.7,35.26,80,0.00,1002.04,26.8,0.0,1005.95,1.60
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,26.9,08-23-2019,19:00:00,.80,230,21.6,24.59,95,11.90,912.65,20.8,7.4,1007.78,17.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.7,08-23-2019,19:00:00,7.00,240,28.6,35.79,91,0.00,989.99,27.1,3.7,1005.87,38.10
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,33.2,08-23-2019,19:00:00,5.00,230,26.8,31.00,88,5.20,1003.38,24.6,1.9,1007.42,9.70
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,33.6,08-23-2019,19:00:00,6.00,000,27.8,32.12,86,0.20,997.35,25.2,0.0,1008.00,8.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,33.1,08-23-2019,19:00:00,7.00,090,26.6,31.99,92,12.70,1005.29,25.2,3.7,1007.22,15.70
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,33.2,08-23-2019,19:00:00,10.00,000,30.8,28.53,64,0.00,985.26,23.3,0.0,1005.84,2.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.2,08-23-2019,19:00:00,10.00,040,29.0,34.28,86,0.00,987.97,26.3,3.7,1005.49,6.50
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,32.8,08-23-2019,19:00:00,10.00,000,28.8,33.57,85,0.00,989.69,26.0,0.0,1005.73,11.20
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,31.1,08-23-2019,19:00:00,10.00,000,28.5,33.24,85,0.00,992.61,25.8,0.0,1006.57,15.30
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,30.7,08-23-2019,19:00:00,10.00,000,27.9,33.45,89,0.00,992.18,25.9,0.0,1006.96,15.00
