WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,WindSpeed,AirTemperature,VaporPressure,WindDirection,StationPressure,DewPoint
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,90,10-11-2019,22:00:00,10.00,1010.60,0.00,0.00,0.0,27.0,31.94,000,1009.96,25.1
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,93,10-11-2019,22:00:00,10.00,1010.92,0.00,0.00,0.0,26.5,32.07,000,1010.52,25.2
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,97,10-11-2019,22:00:00,5.00,1012.05,0.00,0.00,0.0,25.4,31.33,000,1007.80,24.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,97,10-11-2019,22:00:00,7.00,1010.92,8.80,0.00,0.0,24.8,30.22,000,1007.41,24.2
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,96,10-11-2019,22:00:00,7.00,1010.95,6.00,6.00,0.0,25.5,31.25,000,1009.58,24.8
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,92,10-11-2019,22:00:00,10.00,1010.23,0.30,0.00,0.0,27.0,32.77,000,1009.34,25.6
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,92,10-11-2019,22:00:00,10.00,1010.89,0.00,0.00,0.0,25.0,29.00,000,1007.30,23.5
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,84,10-11-2019,22:00:00,10.00,1010.43,4.20,0.00,0.0,27.8,31.28,000,1009.99,24.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,83,10-11-2019,22:00:00,10.00,1009.88,0.01,0.01,0.0,28.6,32.59,000,1008.89,25.5
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,93,10-11-2019,22:00:00,10.00,1011.03,0.00,0.00,7.4,25.6,30.63,090,1010.21,24.4
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,96,10-11-2019,22:00:00,10.00,1010.98,39.10,0.00,0.0,25.2,30.69,000,1009.15,24.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,85,10-11-2019,22:00:00,11.00,1011.57,0.00,0.00,1.9,26.1,28.88,170,1010.82,23.5
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,98,10-11-2019,22:00:00,10.00,1011.35,22.60,0.00,5.6,24.0,29.30,260,1007.30,23.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,92,10-11-2019,22:00:00,10.00,1010.96,3.80,0.00,0.0,25.0,29.00,000,1010.27,23.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,95,10-11-2019,22:00:00,10.00,1010.97,0.40,0.00,0.0,24.9,29.87,000,1009.85,24.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,96,10-11-2019,22:00:00,10.00,1011.44,0.00,0.00,0.0,24.7,29.77,000,1008.49,24.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,86,10-11-2019,22:00:00,10.00,1011.19,0.00,0.00,0.0,26.3,29.25,000,1010.50,23.7
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,92,10-11-2019,22:00:00,7.00,1011.59,0.00,0.00,0.0,25.5,29.91,000,1007.43,24.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,83,10-11-2019,22:00:00,10.00,1010.75,0.00,0.00,5.6,26.7,28.92,260,1010.16,23.5
