WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,WindSpeed,WindDirection,VaporPressure,Rainfall,DewPoint,Rainfall24Hr,RelativeHumidity,StationPressure,LandVisibility,AirTemperature,MeanSeaLevelPressure
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,10-15-2019,22:00:00,0.0,000,24.70,0.00,20.9,0.00,71,998.39,11.00,26.5,1015.29
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,10-15-2019,22:00:00,0.0,000,25.84,0.00,21.6,1.00,86,997.82,10.00,24.2,1015.52
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,10-15-2019,22:00:00,7.4,080,28.96,0.00,23.5,0.00,80,988.41,9.00,27.3,1014.33
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,10-15-2019,22:00:00,0.0,000,31.56,0.00,24.9,0.00,84,1007.09,8.00,27.8,1012.90
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,10-15-2019,22:00:00,0.0,000,32.36,0.00,25.4,0.00,88,1006.70,7.00,27.5,1012.91
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,10-15-2019,22:00:00,0.0,000,29.35,0.00,23.7,0.00,85,998.01,10.00,26.5,1014.59
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,10-15-2019,22:00:00,0.0,000,28.01,0.00,23.0,0.00,82,989.69,10.00,26.2,1012.18
48376,TAK,ตาก,ตาก,16.87833,99.14333,10-15-2019,22:00:00,0.0,000,29.60,0.00,23.9,0.00,81,999.18,7.00,27.5,1013.63
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,10-15-2019,22:00:00,0.0,000,29.66,0.00,23.9,0.00,89,997.62,{'@attributes': {'Unit': 'km'}},25.8,1014.18
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,10-15-2019,22:00:00,0.0,000,27.55,0.00,22.7,0.00,76,1008.10,10.00,27.4,1013.35
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,10-15-2019,22:00:00,7.4,010,27.11,0.00,22.4,0.00,75,999.30,10.00,27.3,1012.56
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,10-15-2019,22:00:00,0.0,000,30.97,0.00,24.6,7.50,84,1003.43,12.00,27.5,1012.79
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,10-15-2019,22:00:00,5.6,020,27.96,0.00,22.9,12.20,88,992.23,9.00,25.0,1014.21
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,10-15-2019,22:00:00,0.0,000,29.91,0.00,24.0,1.10,92,996.70,12.00,25.5,1014.42
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,10-15-2019,22:00:00,5.6,040,27.77,0.00,22.8,0.00,80,997.61,10.00,26.5,1013.57
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,10-15-2019,22:00:00,3.7,040,28.21,0.00,23.1,4.50,91,994.27,10.00,24.7,1013.42
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,10-15-2019,22:00:00,0.0,000,24.09,0.00,20.5,0.00,88,963.34,7.00,22.5,1015.53
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,10-15-2019,22:00:00,0.0,000,30.37,0.00,24.3,0.00,86,1008.77,8.00,26.9,1012.75
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,10-15-2019,22:00:00,0.0,000,24.36,2.10,20.7,4.70,94,918.50,4.00,21.6,1014.24
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,10-15-2019,22:00:00,0.0,000,29.28,0.00,23.7,1.60,91,997.67,8.00,25.3,1013.85
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,10-15-2019,22:00:00,0.0,000,29.19,0.00,23.6,0.00,77,1009.18,6.00,28.0,1013.23
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10-15-2019,22:00:00,0.0,000,26.13,0.00,21.8,0.00,67,1003.15,8.00,28.5,1013.84
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,10-15-2019,22:00:00,0.0,000,28.95,0.00,23.5,0.00,75,1011.06,10.00,28.3,1012.99
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,10-15-2019,22:00:00,5.6,040,26.56,0.00,22.1,1.90,77,992.69,10.00,26.4,1013.73
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,10-15-2019,22:00:00,5.6,050,28.59,0.00,23.3,0.00,88,995.88,10.00,25.5,1013.75
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,10-15-2019,22:00:00,9.3,020,28.87,0.00,23.5,0.00,87,997.22,10.00,25.8,1013.55
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,10-15-2019,22:00:00,5.6,030,26.56,0.00,22.1,0.10,77,998.91,10.00,26.4,1013.05
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,10-15-2019,22:00:00,0.0,000,27.55,0.00,22.7,22.00,84,998.69,9.00,25.5,1013.69
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,10-15-2019,22:00:00,11.1,050,28.29,0.00,23.1,0.00,82,999.31,9.00,26.5,1014.11
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,10-15-2019,22:00:00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",29.90,0.00,24.0,0.00,76,1009.23,10.00,28.8,1012.25
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,10-15-2019,22:00:00,0.0,000,26.29,0.00,21.9,0.00,68,1004.93,8.00,28.3,1012.89
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,10-15-2019,22:00:00,0.0,000,31.95,0.00,25.1,0.00,85,1011.40,8.00,28.0,1012.51
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,10-15-2019,22:00:00,3.7,090,30.64,0.00,24.4,0.00,82,996.34,8.00,27.9,1011.04
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,10-15-2019,22:00:00,7.4,050,22.40,0.00,19.3,0.00,97,878.31,8.00,19.8,1014.13
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,10-15-2019,22:00:00,5.6,060,27.45,0.00,22.6,0.00,76,1007.56,10.00,27.2,1013.48
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,10-15-2019,22:00:00,0.0,000,31.95,0.00,25.1,0.00,85,1012.02,7.00,28.0,1012.82
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10-15-2019,22:00:00,5.6,120,29.11,0.00,23.6,0.00,77,1012.04,6.00,28.1,1012.49
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,10-15-2019,22:00:00,0.0,000,28.92,0.00,23.5,0.00,91,1001.75,6.00,25.1,1013.19
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,10-15-2019,22:00:00,0.0,000,31.29,0.00,24.8,0.00,79,1011.54,7.00,28.8,1012.55
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,10-15-2019,22:00:00,3.7,030,26.70,0.00,22.2,0.00,65,1011.04,8.00,29.4,1012.85
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,10-15-2019,22:00:00,0.0,000,32.21,0.00,25.3,0.00,90,1011.53,8.00,27.0,1012.30
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,10-15-2019,22:00:00,5.6,030,31.63,0.01,25.0,0.01,90,1011.31,9.00,26.7,1012.02
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,10-15-2019,22:00:00,0.0,000,32.27,0.00,25.3,0.01,84,1011.38,8.00,28.3,1012.08
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,10-15-2019,22:00:00,5.6,030,28.23,0.00,23.1,0.00,80,992.11,8.00,26.9,1013.40
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,10-15-2019,22:00:00,5.6,030,29.00,0.00,23.5,0.00,83,996.49,7.00,26.6,1013.34
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,10-15-2019,22:00:00,1.9,050,29.39,0.01,23.8,0.01,89,997.12,7.00,25.8,1013.73
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,10-15-2019,22:00:00,0.0,000,26.72,0.00,22.2,0.00,79,990.80,8.00,26.2,1012.83
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,10-15-2019,22:00:00,11.1,070,26.10,0.00,21.8,0.00,83,969.68,9.00,24.8,1013.51
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,10-15-2019,22:00:00,7.4,040,29.08,0.00,23.6,0.00,84,992.24,10.00,26.5,1012.96
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,10-15-2019,22:00:00,7.4,030,30.54,0.00,24.4,1.40,100,994.18,7.00,24.4,1015.35
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,10-15-2019,22:00:00,0.0,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",29.33,0.00,23.7,8.50,71,1011.43,10.00,29.5,1011.86
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,10-15-2019,22:00:00,0.0,000,31.55,0.00,24.9,6.70,95,1010.57,6.00,25.8,1012.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,10-15-2019,22:00:00,0.0,000,31.08,0.00,24.7,0.00,94,1007.43,7.00,25.7,1012.41
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,10-15-2019,22:00:00,0.0,000,30.23,0.00,24.2,0.00,78,1009.10,10.00,28.4,1012.40
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,10-15-2019,22:00:00,0.0,000,32.89,0.00,25.6,0.00,91,1011.20,10.00,27.2,1012.31
