WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,AirTemperature,Rainfall24Hr,StationPressure,WindSpeed,DewPoint,RelativeHumidity,WindDirection,LandVisibility,MeanSeaLevelPressure,Rainfall
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,29.50,09-12-2019,16:00:00,32.7,0.00,990.65,11.1,23.8,60,330,12.00,1007.84,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.22,09-12-2019,16:00:00,30.1,0.00,990.80,11.1,24.2,71,230,12.00,1006.46,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,30.36,09-12-2019,16:00:00,32.7,0.00,987.07,0.0,24.3,61,000,10.00,1005.57,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,24.30,09-12-2019,16:00:00,27.6,0.80,960.28,0.0,20.6,66,000,11.00,1011.41,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,31.31,09-12-2019,16:00:00,31.9,20.60,1004.39,5.6,24.8,66,340,10.00,1008.28,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,24.37,09-12-2019,16:00:00,24.8,1.20,914.82,16.7,20.7,78,210,9.00,1009.12,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,31.69,09-12-2019,16:00:00,32.5,0.20,991.49,5.6,25.0,65,290,10.00,1007.19,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,32.53,09-12-2019,16:00:00,32.2,0.01,1004.70,5.6,25.4,68,340,12.00,1008.67,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,27.27,09-12-2019,16:00:00,32.0,1.80,998.98,9.3,22.5,57,330,10.00,1009.50,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.97,09-12-2019,16:00:00,32.5,0.20,1006.88,0.0,22.9,57,000,15.00,1008.78,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.54,09-12-2019,16:00:00,33.7,0.00,986.32,9.3,22.7,53,230,12.00,1006.72,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,30.08,09-12-2019,16:00:00,32.0,32.90,989.52,5.6,24.1,63,300,10.00,1006.90,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,30.48,09-12-2019,16:00:00,32.2,25.20,990.86,0.0,24.4,63,000,10.00,1006.74,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,28.66,09-12-2019,16:00:00,32.0,0.01,993.36,9.3,23.3,60,300,10.00,1007.17,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.52,09-12-2019,16:00:00,32.0,0.00,992.68,0.0,24.9,66,000,12.00,1007.27,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,31.27,09-12-2019,16:00:00,32.3,0.50,993.59,7.4,24.8,65,290,10.00,1008.02,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,24.65,09-12-2019,16:00:00,31.9,0.30,1005.70,0.0,20.9,52,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",10.00,1008.68,0.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.28,09-12-2019,16:00:00,32.8,0.70,1000.06,0.0,24.2,61,000,10.00,1007.86,0.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,32.74,09-12-2019,16:00:00,32.3,23.00,1007.33,9.3,25.6,68,270,8.00,1008.42,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,34.65,09-12-2019,16:00:00,31.8,0.00,997.03,3.7,26.5,74,080,9.00,1011.55,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,22.41,09-12-2019,16:00:00,23.7,7.20,874.87,7.4,19.3,77,280,10.00,1008.28,0.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,32.05,09-12-2019,16:00:00,33.5,19.90,1002.47,5.6,25.2,62,250,10.00,1008.23,0.00
