WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,AirTemperature,StationPressure,Rainfall,WindDirection,WindSpeed,LandVisibility,MeanSeaLevelPressure,RelativeHumidity,VaporPressure
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.5,08-22-2019,01:00:00,17.60,25.5,992.47,0.20,000,0.0,5.00,1006.92,94,30.71
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,22.8,08-22-2019,01:00:00,3.00,26.5,989.63,0.00,000,0.0,7.00,1006.02,80,27.77
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.9,08-22-2019,01:00:00,0.40,26.1,1001.87,0.00,000,0.0,10.00,1007.11,93,31.57
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,24.4,08-22-2019,01:00:00,15.00,25.4,992.26,1.40,000,0.0,10.00,1005.50,94,30.52
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,25.2,08-22-2019,01:00:00,6.50,25.8,997.14,0.10,000,0.0,11.00,1006.50,97,32.09
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,24.5,08-22-2019,01:00:00,0.00,26.8,983.20,0.00,120,5.6,8.00,1004.85,87,30.72
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.6,08-22-2019,01:00:00,50.40,26.0,989.00,6.40,000,0.0,10.00,1006.54,92,30.84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.3,08-22-2019,01:00:00,27.00,24.0,989.56,8.00,000,0.0,9.00,1005.53,96,28.53
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,25.1,08-22-2019,01:00:00,0.00,27.0,986.59,0.00,000,0.0,8.00,1005.45,90,31.94
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.0,08-22-2019,01:00:00,5.20,22.8,955.33,0.00,000,0.0,5.00,1007.04,96,26.50
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.3,08-22-2019,01:00:00,0.00,26.6,1002.55,0.00,090,7.4,5.00,1006.51,93,32.26
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.3,08-22-2019,01:00:00,19.30,20.9,911.75,0.20,190,11.1,3.00,1007.03,91,22.40
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.7,08-22-2019,01:00:00,5.40,25.0,990.52,1.00,000,0.0,4.00,1006.60,98,31.12
