WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,AirTemperature,MaximumTemperature,WindDirection,RelativeHumidity,WindSpeed,LandVisibility,MeanSeaLevelPressure,StationPressure,VaporPressure,Rainfall
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,22.9,09-15-2019,19:00:00,25.60,24.2,26.5,000,92,0.0,7.00,1008.08,1006.54,27.85,2.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,23.5,09-15-2019,19:00:00,133.70,25.1,27.3,180,91,3.7,10.00,1009.42,1008.50,28.92,1.30
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.0,09-15-2019,19:00:00,2.40,25.7,29.8,000,96,0.0,7.00,1008.49,1007.80,31.63,1.50
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.3,09-15-2019,19:00:00,6.50,25.3,28.0,000,94,0.0,9.00,1008.99,1008.19,30.34,0.50
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,24.9,09-15-2019,19:00:00,2.30,26.8,33.0,000,90,0.0,10.00,1008.28,1007.64,31.55,1.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.4,09-15-2019,19:00:00,0.70,25.6,33.5,180,93,7.4,10.00,1008.92,1008.51,30.63,0.40
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.3,09-15-2019,19:00:00,2.40,24.9,29.5,000,97,0.0,6.00,1010.57,1006.32,30.40,0.70
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,24.0,09-15-2019,19:00:00,3.20,25.6,31.7,000,91,0.0,10.00,1008.95,1007.33,29.82,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.8,09-15-2019,19:00:00,1.50,27.2,32.0,000,87,0.0,8.00,1008.83,1005.35,31.22,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.3,09-15-2019,19:00:00,5.40,24.9,32.3,000,97,0.0,6.00,1009.06,1007.69,30.40,0.40
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.8,09-15-2019,19:00:00,24.00,27.0,28.5,300,88,11.1,10.00,1008.81,1007.93,31.38,0.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,22.2,09-15-2019,19:00:00,5.70,27.1,30.9,000,75,0.0,10.00,1008.77,1005.20,26.75,0.00
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.8,09-15-2019,19:00:00,5.80,28.4,31.0,320,81,7.4,10.00,1008.41,1007.97,31.34,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.1,09-15-2019,19:00:00,8.80,28.3,31.1,320,78,7.4,10.00,1008.23,1007.24,30.04,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.2,09-15-2019,19:00:00,12.00,28.7,30.0,280,77,22.2,10.00,1008.67,1007.85,30.26,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.7,09-15-2019,19:00:00,10.40,24.7,31.7,180,94,9.3,10.00,1008.90,1007.07,29.25,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,22.7,09-15-2019,19:00:00,14.00,24.5,33.0,140,90,1.9,9.00,1009.63,1008.87,27.60,1.90
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.2,09-15-2019,19:00:00,4.40,23.9,32.5,120,96,7.4,9.00,1010.43,1006.38,28.35,1.60
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.2,09-15-2019,19:00:00,8.00,25.2,32.0,000,94,0.0,10.00,1010.39,1009.70,30.15,0.60
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.2,09-15-2019,19:00:00,21.40,23.8,33.1,000,97,0.0,10.00,1010.99,1009.86,28.43,2.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.6,09-15-2019,19:00:00,6.20,24.5,31.6,000,95,0.0,10.00,1010.25,1007.30,29.15,0.20
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.3,09-15-2019,19:00:00,21.40,23.5,32.5,000,99,0.0,6.00,1010.33,1009.63,28.68,16.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,22.3,09-15-2019,19:00:00,35.40,23.1,32.5,000,96,0.0,6.00,1011.33,1007.14,26.99,33.80
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.8,09-15-2019,19:00:00,25.40,23.8,33.0,310,94,11.1,5.00,1009.98,1009.38,27.67,7.50
