WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,Rainfall24Hr,WindSpeed,VaporPressure,AirTemperature,Rainfall,LandVisibility,StationPressure,MeanSeaLevelPressure,WindDirection
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.7,08-05-2019,16:00:00,80,5.50,14.8,33.00,29.5,5.50,7.00,980.80,1002.23,050
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.0,08-05-2019,16:00:00,75,0.00,5.6,31.72,30.0,0.00,10.00,981.89,1001.06,340
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,23.6,08-05-2019,16:00:00,60,11.50,3.7,29.18,32.4,0.00,12.00,985.39,1001.75,130
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.8,08-05-2019,16:00:00,66,0.50,0.0,29.48,31.0,0.00,12.00,984.97,1002.05,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,22.6,08-05-2019,16:00:00,71,0.00,3.7,27.44,28.5,0.00,15.00,975.29,1000.76,090
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.6,08-05-2019,16:00:00,75,16.30,0.0,32.75,30.5,0.00,8.00,996.77,1002.47,000
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.7,08-05-2019,16:00:00,77,14.70,0.0,33.00,30.2,0.01,10.00,995.70,1001.79,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,24.4,08-05-2019,16:00:00,81,4.20,0.0,30.56,28.0,0.50,10.00,986.61,1002.92,000
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.9,08-05-2019,16:00:00,90,47.50,5.6,27.95,24.7,2.70,8.00,979.40,1001.77,200
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.0,08-05-2019,16:00:00,72,13.30,0.0,29.88,29.5,0.00,8.00,988.31,1002.51,000
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.0,08-05-2019,16:00:00,89,13.10,0.0,31.66,27.0,0.50,6.00,985.61,1001.91,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.0,08-05-2019,16:00:00,66,6.80,11.1,29.88,31.2,0.00,10.00,997.09,1002.22,170
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.4,08-05-2019,16:00:00,80,20.80,0.0,34.39,30.3,5.10,12.00,988.46,1001.44,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,23.7,08-05-2019,16:00:00,70,4.80,3.7,29.36,29.8,0.00,10.00,992.89,1002.08,100
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,22.3,08-05-2019,16:00:00,55,0.01,5.6,26.86,32.5,0.00,10.00,980.16,1001.34,210
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,23.3,08-05-2019,16:00:00,60,0.00,14.8,28.66,32.0,0.00,12.00,984.65,1001.78,220
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,23.7,08-05-2019,16:00:00,60,0.00,7.4,29.38,32.5,0.00,12.00,985.42,1000.87,220
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,22.2,08-05-2019,16:00:00,52,0.00,0.0,26.75,33.3,0.00,10.00,982.03,1000.40,000
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.6,08-05-2019,16:00:00,80,13.90,0.0,27.41,26.3,0.30,9.00,951.40,1002.28,000
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,23.7,08-05-2019,16:00:00,71,0.01,11.1,29.24,29.6,0.00,8.00,998.34,1002.24,180
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.5,08-05-2019,16:00:00,93,26.40,0.0,24.04,21.7,1.70,.80,908.72,1003.41,000
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,24.7,08-05-2019,16:00:00,67,0.40,5.6,31.19,31.7,0.00,10.00,985.98,1001.64,210
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,24.6,08-05-2019,16:00:00,73,0.20,9.3,30.95,29.9,0.00,10.00,999.04,1003.02,170
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,23.7,08-05-2019,16:00:00,71,14.50,5.6,29.33,29.5,0.00,10.00,993.60,1004.15,210
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,23.0,08-05-2019,16:00:00,66,1.80,9.3,28.09,30.0,0.00,12.00,1001.62,1003.52,180
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,21.0,08-05-2019,16:00:00,48,0.00,7.4,24.86,33.6,0.00,10.00,981.24,1001.55,200
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,22.4,08-05-2019,16:00:00,52,0.10,5.6,27.15,33.5,0.00,11.00,983.70,1000.88,330
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,21.8,08-05-2019,16:00:00,49,0.00,11.1,26.18,34.0,0.00,10.00,985.14,1000.83,230
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,23.8,08-05-2019,16:00:00,63,2.40,11.1,29.39,31.8,0.00,10.00,988.14,1001.88,280
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.9,08-05-2019,16:00:00,68,0.00,0.0,33.47,32.5,0.00,10.00,988.38,1002.88,000
