WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,WindDirection,MaximumTemperature,MeanSeaLevelPressure,StationPressure,LandVisibility,AirTemperature,RelativeHumidity,DewPoint,Rainfall,Rainfall24Hr,VaporPressure
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,11.1,08-10-2019,19:00:00,110,36.9,1001.61,981.12,10.00,26.3,82,22.9,0.20,0.20,27.93
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,18.5,08-10-2019,19:00:00,180,34.1,1002.65,982.00,10.00,28.0,86,25.4,0.20,9.40,32.52
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,13.0,08-10-2019,19:00:00,210,30.7,1001.60,1001.17,10.00,27.9,86,25.3,0.20,0.80,32.32
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.0,08-10-2019,19:00:00,000,33.0,1001.12,999.72,8.00,28.1,81,24.5,0.00,36.70,30.75
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.0,08-10-2019,19:00:00,000,32.1,1001.85,996.97,8.00,28.5,78,24.2,0.00,3.60,30.15
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,9.3,08-10-2019,19:00:00,220,31.6,1000.89,997.64,12.00,29.2,74,24.2,0.00,0.01,30.13
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,3.7,08-10-2019,19:00:00,200,33.8,1001.05,999.95,10.00,29.2,75,24.3,0.00,0.01,30.40
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,11.1,08-10-2019,19:00:00,190,32.8,1001.67,1001.37,8.00,28.5,82,25.1,0.01,0.01,31.82
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,5.6,08-10-2019,19:00:00,190,33.5,1000.95,1000.27,10.00,29.5,84,26.4,0.00,0.00,34.46
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,9.3,08-10-2019,19:00:00,240,33.3,1001.36,1000.87,10.00,29.0,79,25.0,0.00,0.00,31.69
