WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,DewPoint,LandVisibility,RelativeHumidity,Rainfall24Hr,VaporPressure,AirTemperature,WindSpeed
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,4.20,09-02-2019,22:00:00,1007.93,000,972.19,23.8,6.00,97,18.40,29.49,24.4,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-02-2019,22:00:00,1006.01,000,976.12,24.0,10.00,99,18.80,29.92,24.2,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,12.40,09-02-2019,22:00:00,1007.56,000,1000.19,23.8,6.00,96,33.60,29.41,24.5,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-02-2019,22:00:00,1005.43,250,985.54,25.4,12.00,93,0.60,32.35,26.5,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,2.10,09-02-2019,22:00:00,1005.89,000,977.07,23.8,12.00,96,29.50,29.41,24.5,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-02-2019,22:00:00,1005.75,250,985.50,23.9,15.00,92,61.30,29.62,25.2,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-02-2019,22:00:00,1004.95,270,983.15,23.3,10.00,89,52.60,28.57,25.2,7.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-02-2019,22:00:00,1004.15,260,984.61,23.6,10.00,92,28.50,29.18,25.1,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,2.50,09-02-2019,22:00:00,1004.44,000,987.69,24.7,8.00,93,12.00,31.11,26.0,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.50,09-02-2019,22:00:00,1004.83,000,987.35,24.3,5.00,96,21.50,30.32,25.0,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-02-2019,22:00:00,1005.41,000,979.51,24.4,10.00,97,21.20,30.48,24.8,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,2.00,09-02-2019,22:00:00,1007.46,070,1001.65,26.0,8.00,100,3.90,33.60,26.0,7.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,3.00,09-02-2019,22:00:00,1007.56,000,1001.33,24.8,7.00,96,5.60,31.25,25.5,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,3.50,09-02-2019,22:00:00,1007.74,000,991.20,24.3,8.00,95,15.60,30.42,25.2,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,6.60,09-02-2019,22:00:00,1007.44,000,984.93,23.8,6.00,96,22.60,29.41,24.5,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-02-2019,22:00:00,1008.44,280,994.04,23.1,7.00,79,1.70,28.33,27.1,5.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1.50,09-02-2019,22:00:00,1008.42,000,991.88,23.8,7.00,96,2.00,29.41,24.5,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1.40,09-02-2019,22:00:00,1007.93,000,1002.68,24.6,7.00,92,2.70,30.84,26.0,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,2.70,09-02-2019,22:00:00,1006.48,000,993.22,24.4,10.00,95,10.80,30.60,25.3,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-02-2019,22:00:00,1007.72,000,998.41,24.7,11.00,84,0.10,31.08,27.7,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-02-2019,22:00:00,1006.11,240,984.28,24.4,8.00,99,169.20,30.65,24.6,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-02-2019,22:00:00,1005.69,200,988.16,23.1,7.00,84,67.00,28.18,26.0,5.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.40,09-02-2019,22:00:00,1003.69,230,987.81,24.3,7.00,96,21.80,30.32,25.0,9.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-02-2019,22:00:00,1005.14,000,986.17,24.7,8.00,98,88.40,31.12,25.0,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.30,09-02-2019,22:00:00,1008.22,000,956.52,22.1,6.00,94,12.20,26.66,23.2,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,4.90,09-02-2019,22:00:00,1007.86,090,1003.87,24.8,3.00,96,23.10,31.25,25.5,7.4
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1.00,09-02-2019,22:00:00,1008.79,250,913.23,20.0,.10,97,7.60,23.41,20.5,13.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-02-2019,22:00:00,1005.73,000,989.66,24.6,6.00,97,54.10,30.85,25.0,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,4.20,09-02-2019,22:00:00,1007.88,000,1003.83,25.4,6.00,95,6.10,32.51,26.3,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,10.10,09-02-2019,22:00:00,1009.37,000,998.61,24.4,7.00,96,15.00,30.50,25.1,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,5.20,09-02-2019,22:00:00,1008.96,000,1007.02,24.5,6.00,89,6.10,30.78,26.4,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.20,09-02-2019,22:00:00,1007.14,220,986.08,23.4,10.00,96,14.60,28.70,24.1,11.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-02-2019,22:00:00,1005.44,270,987.69,24.1,10.00,95,119.50,30.05,25.0,11.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-02-2019,22:00:00,1005.15,230,988.91,24.4,10.00,97,159.00,30.58,25.0,7.4
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.20,09-02-2019,22:00:00,1004.84,270,990.73,23.9,10.00,95,110.30,29.69,24.8,11.1
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.80,09-02-2019,22:00:00,1005.61,000,990.68,23.9,8.00,97,114.00,29.67,24.5,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-02-2019,22:00:00,1005.68,270,990.93,24.1,6.00,95,35.90,30.05,25.0,9.3
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1.50,09-02-2019,22:00:00,1007.52,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1004.51,25.3,7.00,89,1.80,32.25,27.3,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,18.30,09-02-2019,22:00:00,1008.29,000,1000.27,23.7,7.00,94,32.70,29.25,24.7,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,3.60,09-02-2019,22:00:00,1008.51,000,1007.40,24.5,5.00,90,3.60,30.67,26.2,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-02-2019,22:00:00,1007.68,000,992.87,22.5,8.00,88,57.30,27.27,24.6,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,12.20,09-02-2019,22:00:00,1009.43,280,873.87,18.7,.10,99,18.40,21.60,18.9,14.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,35.80,09-02-2019,22:00:00,1008.63,000,1002.70,24.3,5.00,96,40.20,30.32,25.0,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1.00,09-02-2019,22:00:00,1009.61,240,1008.81,25.1,7.00,85,1.00,31.95,28.0,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-02-2019,22:00:00,1008.03,230,1007.59,23.9,10.00,77,0.00,29.68,28.4,14.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,2.80,09-02-2019,22:00:00,1009.22,000,997.80,24.0,3.00,97,20.70,29.85,24.6,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.80,09-02-2019,22:00:00,1009.06,000,1008.05,25.0,7.00,87,0.80,31.69,27.3,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,4.60,09-02-2019,22:00:00,1008.79,180,1006.95,24.6,5.00,92,4.60,30.84,26.0,5.6
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.01,09-02-2019,22:00:00,1008.62,000,1007.85,23.4,7.00,83,0.01,28.82,26.5,0.0
