WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,LandVisibility,VaporPressure,WindSpeed,WindDirection,StationPressure,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.6,09-21-2019,16:00:00,82,10.00,30.84,5.6,280,1002.94,0.00,28.0,30.20,1006.06
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,25.2,09-21-2019,16:00:00,78,10.00,32.13,5.6,270,999.43,0.00,29.5,19.90,1006.30
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.0,09-21-2019,16:00:00,92,6.00,31.60,0.0,000,1001.50,1.60,26.4,28.50,1007.11
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,25.4,09-21-2019,16:00:00,80,9.00,32.38,7.4,270,1000.14,0.00,29.2,26.00,1009.40
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.7,09-21-2019,16:00:00,93,10.00,31.11,3.7,360,1006.40,3.00,26.0,3.00,1007.67
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,25.1,09-21-2019,16:00:00,81,11.00,31.94,16.7,030,1005.41,0.00,28.7,3.50,1005.84
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.3,09-21-2019,16:00:00,88,7.00,30.43,11.1,190,994.68,2.30,26.5,3.10,1006.96
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,25.6,09-21-2019,16:00:00,81,10.00,32.75,9.3,130,1005.33,0.00,29.1,3.00,1006.04
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,24.9,09-21-2019,16:00:00,81,9.00,31.54,5.6,190,1004.69,0.01,28.5,6.40,1007.11
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,25.1,09-21-2019,16:00:00,85,8.00,31.95,0.0,000,1006.45,0.01,28.0,4.40,1006.97
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.3,09-21-2019,16:00:00,88,10.00,32.16,3.7,270,1001.19,1.10,27.4,3.30,1006.33
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,25.4,09-21-2019,16:00:00,83,8.00,32.51,0.0,000,1006.30,0.00,28.7,55.40,1006.71
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,25.7,09-21-2019,16:00:00,85,8.00,32.96,0.0,000,1004.38,0.00,28.5,31.70,1007.14
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,25.1,09-21-2019,16:00:00,90,6.00,31.94,0.0,000,1005.71,2.40,27.0,3.60,1006.50
48501,TRAD,ตราด,ตราด,11.76667,102.88333,25.1,09-21-2019,16:00:00,83,6.00,31.79,1.9,190,1006.98,0.00,28.2,12.40,1007.44
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.6,09-21-2019,16:00:00,76,9.00,30.88,7.4,270,1005.87,1.20,29.3,2.20,1006.54
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.0,09-21-2019,16:00:00,69,9.00,28.12,7.4,270,1005.39,0.20,29.3,5.80,1006.90
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.2,09-21-2019,16:00:00,74,10.00,30.13,5.6,200,1006.87,0.00,29.2,2.20,1007.78
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.0,09-21-2019,16:00:00,75,10.00,31.72,7.4,010,1006.57,0.00,30.0,0.00,1007.25
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.7,09-21-2019,16:00:00,78,10.00,31.13,3.7,240,1006.49,0.00,29.0,0.00,1007.28
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.5,09-21-2019,16:00:00,83,10.00,32.71,0.0,000,1006.48,0.20,28.8,4.40,1007.11
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.7,09-21-2019,16:00:00,84,10.00,31.08,0.0,000,1006.24,0.10,27.7,1.60,1006.64
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.7,09-21-2019,16:00:00,73,6.00,32.93,3.7,130,1004.16,0.00,31.0,0.00,1008.32
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.6,09-21-2019,16:00:00,77,10.00,29.19,0.0,000,1005.62,0.00,28.0,0.00,1007.22
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.4,09-21-2019,16:00:00,82,8.00,30.53,5.6,050,1003.97,0.70,27.7,0.70,1007.44
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,22.7,09-21-2019,16:00:00,63,10.00,27.60,0.0,000,1006.36,0.60,30.6,0.60,1007.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.9,09-21-2019,16:00:00,75,10.00,31.40,5.6,270,1006.29,0.00,29.7,0.00,1007.16
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,09-21-2019,16:00:00,64,10.00,29.35,14.8,210,1003.44,0.00,31.5,0.00,1006.94
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,23.5,09-21-2019,16:00:00,56,10.00,28.92,3.7,330,1006.21,0.00,33.4,0.00,1006.64
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.7,09-21-2019,16:00:00,66,10.00,29.37,0.0,000,1005.76,0.00,30.8,0.00,1006.74
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.2,09-21-2019,16:00:00,73,10.00,32.09,11.1,240,1006.13,0.00,30.6,0.00,1006.93
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.2,09-21-2019,16:00:00,62,5.00,30.24,11.1,210,1004.93,0.00,32.5,0.00,1006.70
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,23.8,09-21-2019,16:00:00,69,7.00,29.47,1.9,160,1006.09,0.00,30.0,0.00,1006.83
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.1,09-21-2019,16:00:00,59,5.00,28.30,16.7,230,1002.62,0.00,32.1,0.00,1006.54
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,09-21-2019,16:00:00,68,5.00,29.89,5.6,250,1007.33,0.00,30.5,0.00,1008.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.0,09-21-2019,16:00:00,62,10.00,29.91,0.0,000,1005.31,0.00,32.2,0.00,1006.41
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.0,09-21-2019,16:00:00,61,8.00,29.87,9.3,260,1003.63,0.00,32.6,0.00,1006.50
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,27.2,09-21-2019,16:00:00,79,7.00,36.06,0.0,000,1005.22,0.00,31.2,0.00,1005.90
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.6,09-21-2019,16:00:00,63,4.00,29.15,0.0,000,1002.71,0.00,31.4,0.00,1006.77
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,24.7,09-21-2019,16:00:00,68,8.00,31.02,14.8,070,1006.16,0.00,31.2,0.00,1006.74
