WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,RelativeHumidity,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall,StationPressure,AirTemperature,DewPoint,Rainfall24Hr
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,6.00,08-30-2019,10:00:00,29.76,89,210,11.1,1002.46,0.30,1001.35,26.0,24.0,2.30
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,2.00,08-30-2019,10:00:00,28.42,98,210,3.7,1000.33,25.80,985.57,23.5,23.2,84.90
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,.10,08-30-2019,10:00:00,21.73,99,200,7.4,1003.51,5.20,868.78,19.0,18.8,15.80
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.00,08-30-2019,10:00:00,30.58,97,230,3.7,1002.26,5.40,996.37,25.0,24.4,9.20
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,7.00,08-30-2019,10:00:00,30.02,84,210,5.6,1002.64,0.90,1001.84,27.0,24.1,1.10
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,10.00,08-30-2019,10:00:00,29.74,74,230,11.1,1002.98,0.00,1002.54,29.0,23.9,2.40
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,7.00,08-30-2019,10:00:00,29.60,81,000,0.0,1004.57,0.00,993.31,27.5,23.9,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,12.00,08-30-2019,10:00:00,30.56,86,220,3.7,1002.18,0.30,1001.17,27.0,24.4,0.30
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.00,08-30-2019,10:00:00,31.08,94,000,0.0,1002.16,0.20,1000.34,25.7,24.7,1.30
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,8.00,08-30-2019,10:00:00,28.53,78,230,7.4,1002.18,0.20,1001.42,27.5,23.3,0.40
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,8.00,08-30-2019,10:00:00,30.31,84,210,9.3,1002.70,0.01,1002.00,27.3,24.3,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,6.00,08-30-2019,10:00:00,30.84,92,270,3.7,1002.44,3.60,1001.74,26.0,24.6,5.90
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,6.00,08-30-2019,10:00:00,28.70,96,250,9.3,1000.17,6.30,978.96,24.1,23.4,12.60
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,7.00,08-30-2019,10:00:00,29.59,96,220,7.4,1000.90,2.60,984.15,24.6,23.9,21.20
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,4.00,08-30-2019,10:00:00,29.69,95,190,3.7,1001.18,3.80,984.72,24.8,23.9,23.70
