WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,MinimumTemperature,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1008.43,08-23-2019,07:00:00,270,26.2,1008.00,23.90,10.00,24.6,0.00,27.8,5.6,83,31.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1009.22,08-23-2019,07:00:00,000,25.2,1007.80,0.70,8.00,25.3,0.10,26.0,0.0,96,32.20
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1009.27,08-23-2019,07:00:00,000,24.8,1004.30,17.80,8.00,24.9,0.00,25.2,0.0,98,31.49
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1008.79,08-23-2019,07:00:00,000,24.2,1005.49,0.01,12.00,23.5,0.00,26.9,0.0,82,29.02
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1009.04,08-23-2019,07:00:00,000,25.8,1007.93,1.30,10.00,25.5,0.00,26.5,0.0,94,32.63
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1008.94,08-23-2019,07:00:00,000,26.6,1008.64,3.70,10.00,25.8,0.00,27.5,0.0,90,33.21
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1008.73,08-23-2019,07:00:00,000,24.5,1008.04,14.50,9.00,26.4,11.70,27.3,0.0,95,34.52
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1008.60,08-23-2019,07:00:00,000,25.5,1008.11,19.50,10.00,26.2,0.60,26.6,0.0,98,33.95
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1009.00,08-23-2019,07:00:00,000,26.3,1007.59,6.40,10.00,26.5,0.00,26.8,0.0,98,34.64
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1008.57,08-23-2019,07:00:00,210,28.1,1006.90,0.00,10.00,26.7,0.00,29.5,22.2,85,35.05
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1010.46,08-23-2019,07:00:00,000,25.6,1002.40,0.01,10.00,25.2,0.00,26.1,0.0,95,32.12
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1008.57,08-23-2019,07:00:00,000,27.4,1008.29,0.00,10.00,25.4,0.00,28.4,0.0,84,32.47
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1008.65,08-23-2019,07:00:00,000,28.0,1005.53,0.00,10.00,24.7,0.00,29.0,0.0,78,31.13
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1009.17,08-23-2019,07:00:00,210,27.5,1002.25,0.00,10.00,25.0,0.00,28.4,5.6,82,31.62
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1009.82,08-23-2019,07:00:00,000,25.4,1004.19,4.10,8.00,25.0,0.00,26.0,0.0,94,31.65
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1009.93,08-23-2019,07:00:00,230,27.8,1000.63,0.00,10.00,24.3,0.00,28.2,14.8,80,30.40
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1009.63,08-23-2019,07:00:00,000,25.6,1008.36,15.90,4.00,26.0,0.00,26.0,0.0,100,33.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1008.74,08-23-2019,07:00:00,230,27.1,1008.31,0.00,11.00,23.9,0.00,27.5,11.1,81,29.60
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1009.21,08-23-2019,07:00:00,000,24.7,996.86,0.00,10.00,23.7,0.00,25.3,0.0,91,29.28
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1008.74,08-23-2019,07:00:00,000,26.7,1008.03,0.00,10.00,23.8,0.00,27.1,0.0,82,29.39
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1009.19,08-23-2019,07:00:00,200,27.2,1006.76,0.00,10.00,24.2,0.00,28.5,7.4,78,30.15
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1009.21,08-23-2019,07:00:00,250,28.5,1008.69,0.00,10.00,24.7,0.00,29.0,9.3,78,31.13
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1009.19,08-23-2019,07:00:00,190,27.7,1004.05,0.00,11.00,24.2,0.00,28.4,1.9,78,30.23
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1009.89,08-23-2019,07:00:00,200,26.7,1009.48,0.80,8.00,25.4,0.00,27.3,5.6,90,32.53
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1009.89,08-23-2019,07:00:00,000,25.5,1007.10,0.00,8.00,24.7,0.00,25.6,0.0,95,31.17
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.09,08-23-2019,07:00:00,000,25.0,1009.30,0.00,10.00,23.2,0.00,26.9,0.0,80,28.49
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1009.99,08-23-2019,07:00:00,110,24.0,1009.53,21.50,7.00,23.6,0.00,25.5,5.6,89,29.11
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1010.20,08-23-2019,07:00:00,000,24.2,1009.51,13.70,7.00,23.8,0.01,24.5,0.0,96,29.41
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1009.50,08-23-2019,07:00:00,000,24.5,1007.96,2.60,8.00,23.5,0.00,24.5,0.0,94,28.89
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.05,08-23-2019,07:00:00,000,24.4,1010.12,8.60,1.00,23.6,0.00,24.8,0.0,93,29.16
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1010.48,08-23-2019,07:00:00,000,26.0,1009.79,0.00,13.00,23.8,0.00,27.1,0.0,82,29.39
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1011.23,08-23-2019,07:00:00,000,24.0,1010.42,0.00,8.00,23.8,0.00,24.5,0.0,96,29.41
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.44,08-23-2019,07:00:00,180,25.3,1009.80,0.00,10.00,24.6,0.00,26.0,5.6,92,30.84
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1010.63,08-23-2019,07:00:00,000,24.6,1010.22,0.00,10.00,24.2,0.00,25.5,0.0,93,30.17
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1012.68,08-23-2019,07:00:00,000,24.0,1008.42,0.00,6.00,23.5,0.00,25.0,0.0,92,29.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.88,08-23-2019,07:00:00,000,24.0,1010.25,1.20,12.00,24.2,0.00,24.5,0.0,98,30.20
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1010.66,08-23-2019,07:00:00,000,24.3,1007.14,0.50,7.00,24.1,0.00,24.5,0.0,97,29.93
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1010.93,08-23-2019,07:00:00,000,25.0,1009.57,0.00,9.00,24.0,0.00,25.3,0.0,92,29.80
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1010.35,08-23-2019,07:00:00,000,23.8,1009.45,21.10,10.00,24.2,0.00,24.5,0.0,98,30.20
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1010.74,08-23-2019,07:00:00,000,23.0,1007.13,8.00,10.00,23.5,0.00,24.1,0.0,97,28.96
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.63,08-23-2019,07:00:00,000,25.0,1010.19,23.40,10.00,24.8,0.00,25.5,0.0,96,31.25
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.37,08-23-2019,07:00:00,000,22.6,1009.37,9.20,9.00,24.4,0.00,24.8,0.0,97,30.48
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1010.63,08-23-2019,07:00:00,000,24.3,1009.81,42.00,10.00,23.7,0.00,24.6,0.0,95,29.33
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1011.20,08-23-2019,07:00:00,000,24.2,1009.37,0.20,10.00,23.8,0.00,24.5,0.0,96,29.41
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1011.19,08-23-2019,07:00:00,230,25.7,1010.43,1.10,11.00,23.5,0.00,27.0,1.9,81,28.94
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.61,08-23-2019,07:00:00,000,22.7,1007.56,0.00,10.00,23.8,0.00,24.8,0.0,94,29.42
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.43,08-23-2019,07:00:00,000,23.9,1010.74,0.50,10.00,23.7,0.00,24.7,0.0,94,29.25
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.05,08-23-2019,07:00:00,000,22.0,1009.92,0.20,10.00,23.8,0.00,25.0,0.0,93,29.52
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.57,08-23-2019,07:00:00,000,22.3,1008.61,0.10,10.00,23.9,0.00,24.2,0.0,98,29.66
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1011.02,08-23-2019,07:00:00,000,24.8,1010.33,0.00,11.00,23.5,0.00,25.0,0.0,92,29.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1011.94,08-23-2019,07:00:00,000,23.4,1007.76,0.20,9.00,23.0,0.00,24.0,0.0,94,28.01
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,1011.73,08-23-2019,07:00:00,000,.0,1011.13,0.00,9.00,23.2,0.00,25.0,0.0,90,28.48
