WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,AirTemperature,MeanSeaLevelPressure,WindSpeed,RelativeHumidity,StationPressure,WindDirection,LandVisibility,DewPoint,Rainfall24Hr,VaporPressure
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-19-2019,22:00:00,28.0,1010.32,0.0,82,1009.68,000,10.00,24.7,0.00,31.11
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-19-2019,22:00:00,27.6,1010.52,0.0,88,1010.12,000,10.00,25.5,0.00,32.56
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-19-2019,22:00:00,27.2,1012.44,0.0,87,1008.21,000,5.00,24.9,0.00,31.49
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-19-2019,22:00:00,26.4,1010.75,0.0,89,1009.13,000,10.00,24.4,0.00,30.51
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,08-19-2019,22:00:00,26.6,1010.93,0.0,91,1007.44,000,10.00,25.0,0.00,31.71
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,08-19-2019,22:00:00,28.6,1009.93,0.0,76,1008.57,000,8.00,24.0,0.00,29.79
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,08-19-2019,22:00:00,26.0,1010.12,0.0,88,1009.23,000,12.00,23.8,0.00,29.50
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,08-19-2019,22:00:00,25.8,1010.35,0.0,90,1006.77,000,10.00,24.1,0.00,29.93
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,08-19-2019,22:00:00,28.5,1010.76,3.7,80,1010.32,320,10.00,24.8,0.00,31.26
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,08-19-2019,22:00:00,27.8,1010.18,0.0,81,1009.19,000,10.00,24.2,0.00,30.17
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,08-19-2019,22:00:00,26.2,1010.55,7.4,85,1009.73,100,10.00,23.6,0.00,29.07
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,08-19-2019,22:00:00,27.1,1010.68,0.0,89,1008.86,000,10.00,25.1,0.00,31.85
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,08-19-2019,22:00:00,29.5,1010.26,7.4,69,1009.52,250,10.00,23.2,0.01,28.50
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,08-19-2019,22:00:00,27.0,1010.67,5.6,86,1006.66,220,10.00,24.4,0.00,30.56
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,08-19-2019,22:00:00,27.5,1010.92,0.0,88,1010.24,000,10.00,25.4,0.00,32.36
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,08-19-2019,22:00:00,27.4,1010.21,0.0,84,1009.09,000,10.00,24.4,0.00,30.50
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,08-19-2019,22:00:00,27.2,1010.74,3.7,87,1007.81,050,10.00,24.9,0.00,31.49
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,08-19-2019,22:00:00,28.0,1009.51,0.0,87,1008.82,000,10.00,25.6,0.00,32.80
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,08-19-2019,22:00:00,27.0,1010.86,3.7,86,1006.72,290,8.00,24.4,0.00,30.56
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,08-19-2019,22:00:00,29.0,1010.54,0.0,78,1009.95,000,10.00,24.7,0.00,31.13
