WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,WindSpeed,VaporPressure,Rainfall,DewPoint,MaximumTemperature,AirTemperature,StationPressure,RelativeHumidity,WindDirection,Rainfall24Hr
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1005.68,07-23-2019,19:00:00,8.00,0.0,32.76,4.00,25.6,35.2,26.0,1005.19,98,000,4.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1005.87,07-23-2019,19:00:00,9.00,11.1,28.45,21.80,23.2,35.5,24.4,1004.45,93,160,21.80
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1005.27,07-23-2019,19:00:00,10.00,14.8,35.89,0.00,27.1,31.5,30.3,1003.61,83,200,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1007.23,07-23-2019,19:00:00,10.00,11.1,28.09,0.00,23.0,35.5,31.0,999.32,63,140,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1006.87,07-23-2019,19:00:00,10.00,14.8,31.13,0.00,24.7,35.2,29.0,1006.59,78,270,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1005.41,07-23-2019,19:00:00,10.00,0.0,32.30,0.00,25.3,32.6,30.0,1002.31,76,000,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1005.75,07-23-2019,19:00:00,12.00,5.6,33.00,0.00,25.7,33.0,30.2,998.89,77,210,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1004.89,07-23-2019,19:00:00,8.00,7.4,34.49,0.00,26.4,35.5,32.0,999.39,73,280,0.20
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1006.51,07-23-2019,19:00:00,7.00,20.4,33.17,0.00,25.8,35.1,30.0,997.30,78,210,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1006.50,07-23-2019,19:00:00,10.00,7.4,27.54,0.00,22.7,36.8,31.0,1005.25,61,240,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1005.34,07-23-2019,19:00:00,11.00,20.4,26.89,0.00,22.3,35.4,32.8,1004.92,54,300,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1006.28,07-23-2019,19:00:00,8.00,0.0,28.34,0.00,23.1,35.6,30.7,994.18,64,000,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1005.51,07-23-2019,19:00:00,10.00,7.4,29.91,0.00,24.0,37.0,32.9,1004.82,60,240,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1006.93,07-23-2019,19:00:00,10.00,11.1,32.17,0.00,25.3,35.5,30.5,1004.52,74,180,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1005.87,07-23-2019,19:00:00,10.00,11.1,33.75,0.00,26.1,32.3,30.0,1005.36,80,230,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1005.90,07-23-2019,19:00:00,10.00,1.9,31.89,0.00,25.1,35.2,29.8,1000.80,76,130,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1006.17,07-23-2019,19:00:00,7.00,0.0,32.84,0.00,25.6,33.6,30.4,1005.76,76,000,0.10
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1006.77,07-23-2019,19:00:00,10.00,0.0,33.99,0.00,26.2,32.7,29.0,1004.02,85,000,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1006.20,07-23-2019,19:00:00,10.00,9.3,29.48,0.00,23.8,35.5,31.0,1005.42,66,350,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1006.69,07-23-2019,19:00:00,6.00,0.0,33.58,0.00,26.0,32.8,29.5,1006.24,81,000,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1007.05,07-23-2019,19:00:00,8.00,7.4,28.69,0.00,23.4,34.8,29.6,1006.38,69,290,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1006.69,07-23-2019,19:00:00,9.00,3.7,27.71,0.00,22.8,35.2,29.8,1005.18,66,250,0.00
