WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,RelativeHumidity,DewPoint,LandVisibility,WindSpeed,VaporPressure,Rainfall,StationPressure,MeanSeaLevelPressure,AirTemperature,MaximumTemperature,WindDirection
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.01,07-30-2019,19:00:00,66,24.3,8.00,0.0,30.37,0.00,999.11,1004.62,31.3,34.7,000
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,07-30-2019,19:00:00,74,24.4,12.00,16.7,30.63,0.00,997.28,1006.51,29.6,37.5,230
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,07-30-2019,19:00:00,56,20.6,12.00,22.2,24.30,0.00,1005.40,1006.65,30.4,34.0,270
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,07-30-2019,19:00:00,60,21.9,11.00,14.8,26.33,0.00,1005.45,1005.88,30.5,35.6,300
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,07-30-2019,19:00:00,58,20.4,10.00,0.0,24.01,0.00,994.56,1006.71,29.5,35.5,000
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,07-30-2019,19:00:00,59,22.2,10.00,13.0,26.83,0.00,1005.47,1006.17,31.2,34.1,270
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,07-30-2019,19:00:00,70,24.5,10.00,11.1,30.74,0.00,1004.85,1007.26,30.5,35.4,200
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,07-30-2019,19:00:00,81,26.0,10.00,7.4,33.71,0.00,1005.19,1005.70,29.7,31.7,180
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,07-30-2019,19:00:00,74,24.7,11.00,3.7,31.03,0.00,1000.78,1005.89,29.8,35.9,190
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,07-30-2019,19:00:00,77,25.5,8.00,0.0,32.59,0.00,1005.60,1006.01,30.0,33.4,000
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,07-30-2019,19:00:00,88,26.4,8.00,0.0,34.32,0.00,1003.43,1006.19,28.6,32.3,000
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,07-30-2019,19:00:00,62,22.0,10.00,0.0,26.39,0.00,1006.27,1007.05,30.1,36.8,000
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,07-30-2019,19:00:00,80,25.4,7.00,5.6,32.38,0.00,1005.93,1006.39,29.2,32.2,230
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.20,07-30-2019,19:00:00,71,23.7,10.00,5.6,29.24,0.00,1006.97,1007.65,29.6,34.3,270
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.60,07-30-2019,19:00:00,64,23.1,9.00,0.0,28.26,0.00,1008.08,1009.59,30.8,33.8,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1.80,07-30-2019,19:00:00,86,26.0,10.00,0.0,33.53,1.60,1008.03,1008.95,28.5,32.6,000
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,07-30-2019,19:00:00,66,24.1,10.00,5.6,29.96,0.00,1007.11,1007.79,31.1,34.5,300
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,07-30-2019,19:00:00,71,23.7,10.00,5.6,29.33,0.00,1007.88,1008.67,29.5,36.3,260
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,07-30-2019,19:00:00,68,22.4,10.00,3.7,27.03,0.00,1007.32,1007.96,29.0,35.6,080
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,07-30-2019,19:00:00,72,24.8,10.00,7.4,31.31,0.00,1008.04,1008.44,30.5,36.0,330
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,07-30-2019,19:00:00,69,24.4,6.00,0.0,30.58,0.00,1006.22,1010.39,30.7,35.0,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,07-30-2019,19:00:00,83,25.9,12.00,0.0,33.41,0.00,1006.80,1008.40,29.0,34.5,000
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,11.80,07-30-2019,19:00:00,92,23.7,8.00,0.0,29.36,11.80,1005.65,1009.15,25.2,34.2,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,07-30-2019,19:00:00,65,23.1,9.00,9.3,28.23,0.00,1006.99,1008.33,30.5,35.2,280
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,07-30-2019,19:00:00,78,25.0,10.00,0.0,31.73,0.00,1007.63,1008.51,29.3,32.3,000
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,07-30-2019,19:00:00,75,24.3,10.00,9.3,30.40,0.00,1005.26,1008.80,29.2,32.9,280
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1.00,07-30-2019,19:00:00,71,24.3,10.00,0.0,30.31,0.00,1008.48,1008.91,30.0,34.0,000
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.10,07-30-2019,19:00:00,71,24.3,10.00,11.1,30.31,0.00,1007.46,1008.45,30.0,32.5,250
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,07-30-2019,19:00:00,79,25.4,10.00,24.1,32.50,0.00,1008.24,1009.05,29.4,31.6,240
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,07-30-2019,19:00:00,76,24.3,10.00,5.6,30.29,0.00,1007.30,1009.11,29.0,34.2,230
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,07-30-2019,19:00:00,60,22.9,10.00,13.0,27.87,0.00,1007.57,1008.31,31.6,35.9,240
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,07-30-2019,19:00:00,69,23.7,10.00,9.3,29.27,0.00,1004.75,1008.71,29.9,35.1,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,07-30-2019,19:00:00,71,23.8,10.00,0.0,29.52,0.00,1008.70,1009.38,29.6,33.6,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,07-30-2019,19:00:00,67,23.9,10.00,0.0,29.65,0.00,1007.70,1008.80,30.8,35.4,000
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,07-30-2019,19:00:00,72,24.9,10.00,0.0,31.51,0.00,1005.97,1008.86,30.6,34.8,000
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,07-30-2019,19:00:00,81,24.9,10.00,0.0,31.54,0.00,1008.08,1008.77,28.5,35.4,000
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,07-30-2019,19:00:00,68,23.0,8.00,0.0,28.15,0.00,1004.56,1008.66,29.6,34.9,000
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,07-30-2019,19:00:00,70,24.5,10.00,0.0,30.74,0.00,1008.29,1008.87,30.5,35.5,000
