WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,RelativeHumidity,MeanSeaLevelPressure,LandVisibility,Rainfall,WindSpeed,StationPressure,Rainfall24Hr,AirTemperature,DewPoint,VaporPressure,MaximumTemperature
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,050,10-17-2019,19:00:00,74,1010.33,10.00,0.00,3.7,1004.46,0.00,28.5,23.4,28.78,33.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,000,10-17-2019,19:00:00,81,1010.00,9.00,0.01,0.0,1009.20,0.01,29.2,25.7,32.96,36.3
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,120,10-17-2019,19:00:00,71,1009.52,10.00,0.00,7.4,1009.08,0.00,29.5,23.7,29.33,33.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,10-17-2019,19:00:00,82,1010.12,7.00,0.00,0.0,998.81,0.00,27.8,24.5,30.72,34.7
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,10-17-2019,19:00:00,71,1010.22,8.00,0.00,0.0,1009.21,0.00,30.8,25.0,31.64,33.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,030,10-17-2019,19:00:00,59,1010.02,10.00,0.00,3.7,1008.21,0.00,30.6,21.7,25.98,34.3
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,10-17-2019,19:00:00,81,1009.86,6.00,0.00,0.0,1009.10,0.00,29.4,25.9,33.37,33.2
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,080,10-17-2019,19:00:00,75,1009.83,10.00,0.01,5.6,1009.13,0.01,29.1,24.2,30.21,32.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,10-17-2019,19:00:00,74,1009.77,11.00,0.00,0.0,1009.07,0.00,30.0,24.9,31.44,35.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,080,10-17-2019,19:00:00,66,1010.72,10.00,0.00,7.4,989.66,0.00,29.4,22.3,26.97,32.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,10-17-2019,19:00:00,68,1010.39,8.00,0.00,0.0,993.76,0.00,29.5,22.9,27.96,33.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,10-17-2019,19:00:00,80,1010.76,8.00,0.00,0.0,994.33,0.00,28.2,24.3,30.40,33.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,10-17-2019,19:00:00,69,1010.49,10.00,0.00,0.0,988.72,0.00,29.3,23.0,28.12,33.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,090,10-17-2019,19:00:00,72,1010.84,8.00,0.00,7.4,967.38,0.00,26.6,21.2,25.12,31.2
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,030,10-17-2019,19:00:00,74,1010.41,10.00,0.00,3.7,989.88,0.00,28.5,23.4,28.78,32.5
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,000,10-17-2019,19:00:00,94,1012.39,10.00,0.00,0.0,991.37,0.00,25.7,24.7,31.08,31.7
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-17-2019,19:00:00,79,1009.64,10.00,0.00,0.0,1009.21,0.00,28.0,24.1,30.01,31.6
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,10-17-2019,19:00:00,94,1009.11,6.00,0.00,0.0,1007.70,1.40,28.0,26.9,35.40,32.7
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-17-2019,19:00:00,95,1010.29,7.00,0.80,0.0,1005.34,7.30,27.1,26.2,34.11,33.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,150,10-17-2019,19:00:00,73,1010.01,10.00,0.00,3.7,1006.74,0.00,30.0,24.6,30.87,33.4
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,10-17-2019,19:00:00,81,1009.80,10.00,0.00,0.0,1008.70,0.00,29.0,25.5,32.55,34.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,100,10-17-2019,19:00:00,64,1009.78,10.00,0.00,3.7,1009.48,0.00,31.2,23.6,29.04,33.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,090,10-17-2019,19:00:00,66,1009.82,10.00,0.00,9.3,1009.14,0.00,31.1,24.1,29.96,34.3
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,100,10-17-2019,19:00:00,64,1009.43,10.00,0.00,5.6,1008.94,0.00,30.6,23.0,28.15,34.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,010,10-17-2019,19:00:00,71,1010.05,10.00,0.00,11.1,1008.64,0.00,29.0,23.2,28.37,33.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,060,10-17-2019,19:00:00,71,1009.23,10.00,0.00,11.1,1007.57,0.00,30.4,24.5,30.82,32.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,10-17-2019,19:00:00,84,1011.82,10.00,0.00,0.0,1003.81,0.00,28.2,25.2,32.07,33.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,10-17-2019,19:00:00,85,1009.68,6.00,4.00,0.0,1009.40,4.00,29.0,26.2,33.99,35.2
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,000,10-17-2019,19:00:00,77,1009.77,10.00,0.00,0.0,1006.65,0.00,29.3,24.9,31.45,34.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,180,10-17-2019,19:00:00,86,1009.25,10.00,0.50,5.6,1002.30,2.60,27.0,24.4,30.56,32.2
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,10-17-2019,19:00:00,73,1010.30,8.00,0.00,0.0,1004.74,0.00,30.4,25.0,31.68,34.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,090,10-17-2019,19:00:00,75,1010.13,10.00,0.00,11.1,1000.85,0.00,28.9,24.0,29.82,32.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,350,10-17-2019,19:00:00,97,1010.59,8.00,3.50,7.4,1009.31,27.00,25.2,24.6,30.96,31.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,330,10-17-2019,19:00:00,78,1009.38,11.00,0.00,5.6,1008.95,0.00,29.5,25.2,32.13,33.6
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,10-17-2019,19:00:00,87,1009.64,6.00,0.00,0.0,997.35,0.00,26.8,24.5,30.72,30.7
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,310,10-17-2019,19:00:00,79,1009.00,8.00,0.00,5.6,1008.29,10.40,29.5,25.5,32.71,30.8
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,360,10-17-2019,19:00:00,90,1009.61,9.00,4.00,5.6,1007.16,4.10,25.8,24.1,29.93,34.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,10-17-2019,19:00:00,86,1009.19,10.00,0.00,0.0,1008.67,0.00,27.0,24.4,30.56,33.0
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,060,10-17-2019,19:00:00,91,1009.21,9.00,11.90,3.7,1004.03,12.10,26.0,24.4,30.57,32.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,040,10-17-2019,19:00:00,70,1009.13,8.00,0.00,9.3,1008.72,0.00,29.9,23.8,29.55,34.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,10-17-2019,19:00:00,81,1009.52,10.00,0.00,0.0,1006.74,0.00,27.4,23.9,29.69,35.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,10-17-2019,19:00:00,92,1009.56,10.00,0.00,0.0,1008.77,23.80,26.0,24.6,30.84,27.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,000,10-17-2019,19:00:00,88,1008.78,8.00,0.00,0.0,1008.32,8.20,27.2,25.1,31.77,33.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,10-17-2019,19:00:00,90,1009.30,10.00,0.00,0.0,1008.62,54.10,26.4,24.7,31.05,27.9
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,10-17-2019,19:00:00,90,1009.78,8.00,0.00,0.0,1008.25,29.80,26.4,24.7,31.05,27.8
