WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,WindSpeed,Rainfall24Hr,RelativeHumidity,LandVisibility,Rainfall,VaporPressure,MinimumTemperature,AirTemperature,WindDirection,StationPressure,MeanSeaLevelPressure
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,24.6,09-22-2019,07:00:00,0.0,3.20,96,8.00,0.20,30.87,25.1,25.3,000,1010.47,1011.75
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,24.8,09-22-2019,07:00:00,0.0,15.70,97,11.00,1.70,31.22,24.8,25.2,000,1010.42,1010.86
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,23.9,09-22-2019,07:00:00,0.0,44.20,99,8.00,0.10,29.74,23.6,24.1,000,998.97,1011.39
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,24.9,09-22-2019,07:00:00,0.0,37.00,99,10.00,0.50,31.58,24.7,25.1,000,1010.28,1011.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,23.9,09-22-2019,07:00:00,0.0,4.50,90,10.00,0.00,29.74,25.2,25.7,000,1008.57,1011.02
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,24.8,09-22-2019,07:00:00,0.0,1.00,96,10.00,0.00,31.25,25.2,25.5,000,1010.47,1010.99
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,24.6,09-22-2019,07:00:00,1.9,3.10,96,10.00,0.00,30.87,24.9,25.3,190,1005.59,1010.79
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,24.8,09-22-2019,07:00:00,0.0,44.90,97,8.00,0.00,31.22,24.8,25.2,000,1010.71,1011.13
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,23.9,09-22-2019,07:00:00,0.0,34.20,97,8.00,7.50,29.57,24.0,24.3,000,1008.76,1011.57
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,24.6,09-22-2019,07:00:00,0.0,7.90,97,8.00,2.20,30.96,23.7,25.2,000,1010.24,1011.04
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.0,09-22-2019,07:00:00,5.6,12.20,97,6.00,8.20,29.75,23.9,24.4,050,1010.74,1011.21
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.2,09-22-2019,07:00:00,0.0,1.20,95,8.00,0.00,30.23,24.9,25.1,000,1009.73,1010.42
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,23.6,09-22-2019,07:00:00,0.0,5.60,97,8.00,0.00,29.13,24.2,24.2,000,1009.11,1010.65
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,22.7,09-22-2019,07:00:00,1.9,2.20,90,10.00,0.00,27.60,24.0,24.5,060,1009.40,1010.33
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,25.3,09-22-2019,07:00:00,0.0,1.70,97,10.00,0.00,32.18,23.8,25.7,000,1009.89,1010.59
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,23.3,09-22-2019,07:00:00,0.0,0.00,96,7.00,0.00,28.53,23.8,24.0,000,1010.07,1010.88
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,23.8,09-22-2019,07:00:00,0.0,0.20,96,7.00,0.00,29.41,24.2,24.5,000,1009.87,1010.52
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.4,09-22-2019,07:00:00,0.0,0.10,97,8.00,0.00,30.58,24.7,25.0,000,1009.40,1009.81
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,23.6,09-22-2019,07:00:00,0.0,15.40,98,5.00,0.00,29.12,23.0,23.9,000,1008.48,1012.76
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.6,09-22-2019,07:00:00,0.0,0.00,97,6.00,0.00,29.13,23.0,24.2,000,1007.52,1009.14
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,23.7,09-22-2019,07:00:00,0.0,0.70,97,5.00,0.00,29.31,24.0,24.3,000,1006.98,1010.49
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.4,09-22-2019,07:00:00,0.0,0.60,97,8.00,0.00,30.48,24.5,24.8,000,1009.36,1010.73
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,23.7,09-22-2019,07:00:00,0.0,0.00,94,10.00,0.00,29.25,24.3,24.7,000,1009.10,1009.99
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,23.7,09-22-2019,07:00:00,0.0,0.00,95,10.00,0.00,29.33,23.0,24.6,000,1006.44,1010.04
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,24.9,09-22-2019,07:00:00,0.0,0.00,92,10.00,0.00,31.41,26.0,26.3,000,1009.31,1009.75
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,24.3,09-22-2019,07:00:00,0.0,0.00,97,9.00,0.00,30.40,22.5,24.9,000,1007.75,1008.75
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,24.8,09-22-2019,07:00:00,5.6,0.00,92,8.00,0.00,31.22,25.0,26.2,050,1009.02,1009.84
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.9,09-22-2019,07:00:00,0.0,0.00,98,.80,0.00,31.49,24.8,25.2,000,1008.44,1010.27
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,24.9,09-22-2019,07:00:00,1.9,1.20,90,5.00,0.00,31.55,26.2,26.8,250,1009.66,1010.41
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,24.8,09-22-2019,07:00:00,5.6,0.00,95,2.50,0.00,31.36,23.3,25.7,060,1006.49,1010.52
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.7,09-22-2019,07:00:00,0.0,0.00,94,4.00,0.00,31.08,24.0,25.7,000,1009.87,1010.56
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.5,09-22-2019,07:00:00,0.0,0.00,90,7.00,0.00,30.67,24.7,26.2,000,1009.09,1010.22
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,25.0,09-22-2019,07:00:00,0.0,3.00,98,.50,3.00,31.68,23.6,25.3,000,1007.58,1010.53
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.3,09-22-2019,07:00:00,0.0,0.00,97,5.00,0.00,30.40,24.1,24.9,000,1009.07,1009.76
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.2,09-22-2019,07:00:00,5.6,0.01,97,4.00,0.00,28.43,23.2,23.8,230,1006.55,1010.73
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.4,09-22-2019,07:00:00,5.6,80.00,93,8.00,0.00,27.08,.0,23.6,200,1009.24,1009.83
