WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MaximumTemperature,Date,Time,AirTemperature,WindDirection,Rainfall,DewPoint,Rainfall24Hr,VaporPressure,RelativeHumidity,StationPressure,WindSpeed,MeanSeaLevelPressure,LandVisibility
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,30.6,09-14-2019,19:00:00,24.8,290,43.00,24.2,48.80,30.22,97,1010.13,16.7,1010.95,9.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,31.9,09-14-2019,19:00:00,23.9,310,9.60,23.0,11.80,28.10,95,1009.33,7.4,1011.17,9.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,32.3,09-14-2019,19:00:00,28.1,220,0.00,23.4,1.50,28.84,76,1009.25,5.6,1010.00,10.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,31.7,09-14-2019,19:00:00,25.7,240,0.01,23.9,0.01,29.74,90,1006.28,14.8,1010.30,10.00
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.5,09-14-2019,19:00:00,25.2,000,8.00,23.7,9.20,29.36,92,1009.73,0.0,1010.42,6.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,31.1,09-14-2019,19:00:00,27.0,000,0.00,24.4,14.20,30.56,86,1008.59,0.0,1009.71,10.00
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,31.9,09-14-2019,19:00:00,26.0,320,2.00,25.1,3.00,31.93,95,1007.77,3.7,1010.71,6.00
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,32.7,09-14-2019,19:00:00,25.5,000,0.00,24.0,5.90,29.91,92,1008.48,0.0,1009.17,8.00
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,32.6,09-14-2019,19:00:00,24.9,000,0.00,23.0,9.50,28.04,89,1006.06,0.0,1010.22,6.00
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,34.2,09-14-2019,19:00:00,25.5,000,0.60,22.5,7.10,27.29,84,1008.97,0.0,1009.57,8.00
