WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,RelativeHumidity,StationPressure,WindSpeed,Rainfall24Hr,WindDirection,LandVisibility,DewPoint,AirTemperature,VaporPressure
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,08-13-2019,10:00:00,1009.39,85,1004.17,0.0,9.30,000,10.00,25.3,28.1,32.15
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.40,08-13-2019,10:00:00,1008.21,95,994.97,0.0,11.60,000,10.00,25.4,26.3,32.51
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,08-13-2019,10:00:00,1009.22,84,999.93,5.6,4.20,110,12.00,25.5,28.5,32.67
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.20,08-13-2019,10:00:00,1009.11,88,987.42,3.7,0.40,240,7.00,25.4,27.5,32.36
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.01,08-13-2019,10:00:00,1009.10,85,991.65,9.3,0.10,240,10.00,25.7,28.5,32.96
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,2.00,08-13-2019,10:00:00,1008.37,92,992.49,3.7,3.60,130,8.00,25.1,26.5,31.79
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.10,08-13-2019,10:00:00,1008.10,85,989.26,0.0,0.20,000,7.00,25.1,28.0,31.95
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,08-13-2019,10:00:00,1008.41,78,957.30,0.0,10.90,000,10.00,22.7,26.8,27.52
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,08-13-2019,10:00:00,1009.23,88,1005.28,7.4,3.10,160,5.00,25.9,28.0,33.37
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,08-13-2019,10:00:00,1009.08,86,914.58,7.4,6.30,220,7.00,21.5,24.1,25.68
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.10,08-13-2019,10:00:00,1003.81,94,987.92,0.0,1.80,000,5.00,26.7,27.7,35.06
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.20,08-13-2019,10:00:00,1009.83,92,1005.80,5.6,5.80,180,6.00,26.4,27.8,34.40
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,08-13-2019,10:00:00,1010.29,83,999.64,0.0,1.20,000,10.00,25.2,28.5,32.10
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.30,08-13-2019,10:00:00,1009.80,79,1007.87,5.6,5.80,150,10.00,24.8,28.8,31.29
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,08-13-2019,10:00:00,1009.02,76,988.24,5.6,1.60,210,10.00,24.0,28.8,29.90
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,08-13-2019,10:00:00,1008.89,82,991.28,11.1,0.01,230,10.00,25.0,28.4,31.62
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.01,08-13-2019,10:00:00,1008.52,83,992.43,5.6,4.40,270,9.00,25.5,28.8,32.71
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-13-2019,10:00:00,1009.15,75,995.20,11.1,0.00,240,10.00,24.5,29.4,30.80
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-13-2019,10:00:00,1009.80,78,995.05,0.0,0.00,000,8.00,25.0,29.3,31.73
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-13-2019,10:00:00,1009.96,82,995.32,7.4,0.00,290,8.00,25.1,28.5,31.82
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,08-13-2019,10:00:00,1009.24,83,1006.23,0.0,0.20,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10.00,25.5,28.8,32.71
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.01,08-13-2019,10:00:00,1009.49,77,1001.58,0.0,0.01,000,10.00,25.0,29.4,31.65
